id,length,starting_pitch,sequence
583,8,F,"F, C, B, F, B, F, B, B"
584,8,F,"F, C, B, F, F, B, B, B"
585,8,F,"F, C, F, B, B, B, F, B"
586,8,F,"F, C, F, B, B, F, B, B"
587,8,F,"F, C, F, B, F, B, B, B"
588,8,F,"F, C, F, F, B, B, B, B"
589,8,F,"F, F, B, B, B, F, F, B"
590,8,F,"F, F, B, B, F, B, F, B"
591,8,F,"F, F, B, B, F, F, B, B"
592,8,F,"F, F, B, F, B, B, F, B"
593,8,F,"F, F, B, F, B, F, B, B"
594,8,F,"F, F, B, F, F, B, B, B"
595,8,F,"F, F, F, B, B, B, F, B"
596,8,F,"F, F, F, B, B, F, B, B"
597,8,F,"F, F, F, B, F, B, B, B"
598,8,F,"F, F, F, F, B, B, B, B"
599,9,B,"B, B, B, S, S, F, F, F, B"
600,9,B,"B, B, B, S, C, F, F, F, B"
601,9,B,"B, B, B, S, F, F, F, F, B"
602,9,B,"B, B, B, C, S, F, F, F, B"
603,9,B,"B, B, B, C, C, F, F, F, B"
604,9,B,"B, B, B, C, F, F, F, F, B"
605,9,B,"B, B, B, F, S, F, F, F, B"
606,9,B,"B, B, B, F, C, F, F, F, B"
607,9,B,"B, B, B, F, F, F, F, F, B"
608,9,B,"B, B, S, B, S, F, F, F, B"
609,9,B,"B, B, S, B, C, F, F, F, B"
610,9,B,"B, B, S, B, F, F, F, F, B"
611,9,B,"B, B, S, S, B, F, F, F, B"
